index;name;album;artist;release_date;length;popularity;mode;acousticness;danceability;energy;instrumentalness;liveness;valence;loudness;speechiness;tempo;duration_ms;time_signature;genre;url
0;goosebumps;Birds In The Trap Sing McKnight;Travis Scott;42629;243836;89;1;0,0847;0,841;0,728;0;0,149;0,43;-3,37;0,0484;130,049;243837;4;['rap'];https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
1;Trevo (Tu);ANAVITÓRIA;ANAVITÓRIA;42600;205467;69;1;0,877;0,676;0,374;0,000132;0,165;0,2;-8,201;0,0266;99,825;205468;4;['folk brasileiro', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional', 'portuguese pop'];https://open.spotify.com/track/2vRBYKWOyHtFMtiK60qRz7
2;Hear Me Now;Hear Me Now;Alok;42664;194840;73;1;0,546;0,778;0,463;0,00289;0,0731;0,496;-7,603;0,0389;121,999;194840;4;['brazilian edm', 'edm', 'electro house', 'pop house'];https://open.spotify.com/track/39cmB3ZoTOLwOTq7tMNqKa
3;Refém;O Cara Certo;Dilsinho;42531;223546;67;1;0,692;0,648;0,542;0;0,0923;0,835;-6,292;0,036;147,861;223547;4;['pagode', 'pagode novo'];https://open.spotify.com/track/4muZ1PUxmss4cVmYnpLrvs
4;Ela Só Quer Paz;Ela Só Quer Paz;Projota;42396;174382;66;0;0,0207;0,655;0,664;0;0,0771;0,934;-4,506;0,179;172,005;174382;4;['brazilian edm', 'brazilian hip hop', 'pop nacional'];https://open.spotify.com/track/1RPrzKZdkzCNV0Ux0xEHg2
5;Closer;Closer;The Chainsmokers;42580;244960;84;1;0,414;0,748;0,524;0;0,111;0,661;-5,599;0,0338;95,01;244960;4;['dance pop', 'edm', 'electropop', 'pop', 'tropical house'];https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
6;Say You Won't Let Go;Back from the Edge;James Arthur;42671;211466;85;1;0,695;0,358;0,557;0;0,0902;0,494;-7,398;0,059;85,043;211467;4;['pop', 'post-teen pop', 'talent show', 'uk pop'];https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
7;Devil Eyes;Providence;Hippie Sabotage;42405;131271;80;0;0,702;0,391;0,396;0,405;0,315;0,199;-8,621;0,189;99,112;131272;5;['edm'];https://open.spotify.com/track/7MiZjKawmXTsTNePyTfPyL
8;We Don't Talk Anymore (feat. Selena Gomez);Nine Track Mind;Charlie Puth;42398;217706;80;0;0,621;0,728;0,563;0;0,179;0,352;-8,053;0,134;100,017;217707;4;['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap'];https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
9;Paredes - Ao Vivo;Como. Sempre Feito. Nunca (ao Vivo);Jorge & Mateus;42419;184032;64;1;0,176;0,619;0,925;0;0,272;0,802;-2,424;0,148;169,974;184033;4;['pop nacional', 'sertanejo universitario'];https://open.spotify.com/track/2GfxgssRHvY1azHtaRqKoK
10;Congratulations;Stoney (Deluxe);Post Malone;42713;220293;82;1;0,215;0,63;0,804;0;0,253;0,492;-4,183;0,0363;123,146;220293;4;['dance pop', 'edm', 'electro house', 'pop', 'pop edm', 'tropical house'];https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
11;Lembranças;Lembranças;Hungria Hip Hop;42615;270597;64;0;0,347;0,916;0,321;0;0,0854;0,666;-10,278;0,339;136,043;270597;4;['brazilian edm', 'brazilian hip hop', 'rap df', 'trap brasileiro'];https://open.spotify.com/track/2BZx6pvXQpY8pExUmdkkm1
12;Starboy;Starboy;The Weeknd;42699;230453;83;1;0,141;0,679;0,587;0,00000635;0,137;0,486;-7,015;0,276;186,003;230453;4;['canadian contemporary r&b', 'canadian pop', 'pop'];https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
13;Let Me Love You;Encore;DJ Snake;42587;205946;80;1;0,0863;0,649;0,716;0,0000263;0,135;0,163;-5,371;0,0349;99,988;205947;4;['dance pop', 'edm', 'electro house', 'electronic trap', 'pop', 'pop rap'];https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
14;Singular;ANAVITÓRIA;ANAVITÓRIA;42600;206108;63;1;0,727;0,765;0,307;0,00000215;0,109;0,257;-10,472;0,0328;119,836;206109;4;['folk brasileiro', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional', 'portuguese pop'];https://open.spotify.com/track/2bwNhYxgQlkokiEn94eAYT
15;Louca de Saudade - Ao Vivo;Como. Sempre Feito. Nunca (ao Vivo);Jorge & Mateus;42419;195573;63;1;0,539;0,728;0,739;0;0,276;0,722;-2,729;0,0272;106,017;195573;4;['pop nacional', 'sertanejo universitario'];https://open.spotify.com/track/2InJDvDcA4RXEeA9njdibl
16;Deixa em Off - Ao Vivo;Turma do Pagode XV Anos (Ao Vivo);Turma do Pagode;42447;173586;63;0;0,732;0,599;0,812;0;0,868;0,716;-5,749;0,0533;96,048;173587;4;['funk carioca', 'pagode', 'pagode novo', 'sertanejo universitario'];https://open.spotify.com/track/5sudtP2ME6aIHN20glKW0k
17;That's What I Like;24K Magic;Bruno Mars;42691;206693;80;1;0,013;0,853;0,56;0;0,0944;0,86;-4,961;0,0406;134,066;206693;4;['dance pop', 'pop', 'post-teen pop'];https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
18;Agora Eu Quero Ir;ANAVITÓRIA;ANAVITÓRIA;42600;192714;63;1;0,497;0,747;0,307;0,000121;0,131;0,323;-8,617;0,0332;127,841;192715;4;['folk brasileiro', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional', 'portuguese pop'];https://open.spotify.com/track/0wHLjfLyc26xILjHVMGIHN
19;Scars To Your Beautiful;Know-It-All (Deluxe);Alessia Cara;42440;230226;78;1;0,0285;0,319;0,739;0;0,111;0,449;-5,74;0,272;194,169;230227;4;['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop'];https://open.spotify.com/track/42ydLwx4i5V49RXHOozJZq
20;Love On The Brain;ANTI (Deluxe);Rihanna;42397;224000;80;0;0,0717;0,509;0,637;0,0000108;0,0789;0,378;-4,83;0,0471;172,006;224000;3;['pop', 'pop rap', 'rap', 'toronto rap', 'trap', 'urban contemporary'];https://open.spotify.com/track/5oO3drDxtziYU2H1X23ZIp
21;This Is What You Came For (feat. Rihanna);This Is What You Came For (feat. Rihanna);Calvin Harris;42489;222160;79;0;0,199;0,63;0,928;0,124;0,148;0,465;-2,787;0,0331;123,963;222160;4;['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance'];https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
22;Alma de Pipa;4° Último;Tribo da Periferia;42727;169302;62;0;0,543;0,836;0,352;0;0,0888;0,446;-10,063;0,0843;132,047;169302;4;['brazilian edm', 'rap df'];https://open.spotify.com/track/2Tr8fS7IQGlVbOoLX6vX3H
23;Maranata - Ao Vivo;Maranata;Ministério Avivah;42583;384760;62;1;0,022;0,314;0,798;0,00000363;0,362;0,336;-5,851;0,0544;150,129;384760;4;['adoracao', 'louvor icm', 'world worship'];https://open.spotify.com/track/21UUN3OEpS7Lr8YiN4xh4N
24;Medo Bobo - Ao Vivo;Ao Vivo Em Goiânia;Maiara & Maraisa;42433;174920;62;1;0,695;0,599;0,65;0;0,969;0,346;-4,394;0,0263;91,989;174920;4;['batidao romantico', 'funk carioca', 'funk ostentacao', 'funk paulista'];https://open.spotify.com/track/2CW04trIoYMbroZWDzPAjs
25;Cheap Thrills;This Is Acting;Sia;42398;211666;77;0;0,0472;0,628;0,698;0,00143;0,0907;0,732;-5,608;0,105;89,976;211667;4;['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop'];https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
26;Dependente;De Volta Pro Amanhã;Sorriso Maroto;42524;221693;62;1;0,797;0,579;0,492;0;0,107;0,427;-7,864;0,0392;162,075;221693;4;['pagode', 'sertanejo universitario'];https://open.spotify.com/track/4kUpVCOVfhipS0KRuoBYvs
27;Peça Felicidade - Acústico;Peça Felicidade (Acústico);Melim;42587;136549;62;0;0,22;0,516;0,378;0;0,138;0,751;-9,635;0,0456;144,068;136549;3;['mpb', 'nova mpb', 'pop nacional'];https://open.spotify.com/track/0x0nvnWLItdxqHNhUHj6Yn
28;Como É Que a Gente Fica - Ao Vivo;Novas Histórias (Ao Vivo);Henrique & Juliano;42447;162480;62;1;0,654;0,497;0,834;0;0,372;0,442;-3,218;0,0571;117,196;162480;3;['pagode', 'pagode novo'];https://open.spotify.com/track/41mt7YrfLrIc4EQJZFCJtw
29;PILLOWTALK;Mind Of Mine (Deluxe Edition);ZAYN;42454;202746;78;1;0,117;0,584;0,7;0;0,0939;0,438;-4,275;0,0456;124,944;202747;4;['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop'];https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
30;Dubai;Dubai;Hungria Hip Hop;42475;280218;62;0;0,267;0,934;0,487;0;0,127;0,924;-9,281;0,283;139,97;280219;4;['brazilian edm', 'brazilian hip hop', 'rap df', 'trap brasileiro'];https://open.spotify.com/track/16Ij1j3ZawPQ2vxsnusKLY
31;Way down We Go;A/B;KALEO;42531;213706;77;0;0,579;0,489;0,505;0,000333;0,104;0,337;-8,022;0,117;163,255;213707;4;['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock'];https://open.spotify.com/track/0y1QJc3SJVPKJ1OvFmFqe6
32;Million Reasons;Joanne (Deluxe);Lady Gaga;42664;205280;76;1;0,494;0,666;0,423;0;0,106;0,154;-8,012;0,043;129,89;205280;4;['dance pop', 'pop'];https://open.spotify.com/track/7dZ1Odmx9jWIweQSatnRqo
33;Needed Me;ANTI (Deluxe);Rihanna;42397;191600;79;0;0,11;0,671;0,314;0;0,0825;0,296;-8,091;0,244;110,898;191600;4;['pop', 'pop rap', 'rap', 'toronto rap', 'trap', 'urban contemporary'];https://open.spotify.com/track/4pAl7FkDMNBsjykPXo91B3
34;Formation;Lemonade;Beyoncé;42483;206080;75;0;0,00532;0,896;0,621;0;0,196;0,818;-6,857;0,237;121,966;206080;4;['houston rap', 'pop', 'pop rap', 'trap queen'];https://open.spotify.com/track/6g0Orsxv6glTJCt4cHsRsQ
35;Muleque De Vila - Ao Vivo;3Fs (Ao Vivo);Projota;42517;277613;61;1;0,485;0,721;0,7;0;0,837;0,645;-6,028;0,0673;134,016;277613;4;['brazilian edm', 'brazilian hip hop', 'pop nacional'];https://open.spotify.com/track/4kGoQLmgPxVcDzhdeqvlOp
36;i hate u, i love u (feat. olivia o'brien);us;gnash;42454;251033;80;0;0,687;0,492;0,275;0;0,101;0,18;-13,4;0,3;92,6;251034;4;['pop', 'sad rap', 'social media pop'];https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
37;Heathens;Heathens;Twenty One Pilots;42537;195920;81;0;0,0841;0,732;0,396;0,0000358;0,105;0,548;-9,348;0,0286;90,024;195920;4;['modern rock', 'rock'];https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
38;Pé Na Areia - Ao Vivo;Alma Brasileira (Ao Vivo / Edição Especial);Diogo Nogueira;42636;216839;61;1;0,647;0,613;0,764;0;0,505;0,64;-5,997;0,0409;158,025;216840;4;['mpb', 'pagode', 'samba', 'samba moderno'];https://open.spotify.com/track/5IiqKPucgFCmLTb5p584dd
39;7 Years;Lukas Graham;Lukas Graham;42461;237300;79;1;0,287;0,765;0,473;0;0,391;0,34;-5,829;0,0514;119,992;237300;4;['danish pop', 'pop', 'scandipop'];https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
40;Go Fuck Yourself;First Steps;Two Feet;42580;129599;78;1;0,571;0,765;0,327;0,0479;0,0787;0,292;-8,029;0,277;74,931;129600;4;['indie poptimism', 'modern rock'];https://open.spotify.com/track/4NZrZgrRoR4GwR7flWOXRI
41;Deus é Deus;Nada Além da Graça;Delino Marçal;42489;271209;61;1;0,379;0,463;0,457;0;0,289;0,167;-7,034;0,0322;113,897;271209;4;['adoracao', 'brazilian gospel'];https://open.spotify.com/track/2zIUZPKNlGrnlxagZmKTFd
42;Pra Sempre Com Você - Ao Vivo;Como. Sempre Feito. Nunca (ao Vivo);Jorge & Mateus;42419;207520;61;1;0,384;0,625;0,888;0;0,874;0,544;-2,359;0,0382;97,996;207520;4;['pop nacional', 'sertanejo universitario'];https://open.spotify.com/track/2KGv51jgAz8OTjNPyRryfq
43;Como Faz Com Ela - Ao Vivo;Marília Mendonça - Ao Vivo;Marília Mendonça;42433;150348;61;0;0,427;0,655;0,913;0;0,105;0,918;-3,585;0,133;171,961;150349;4;['pop nacional', 'sertanejo universitario'];https://open.spotify.com/track/2Gvn46nwyQhUnQiFhlP7WX
44;Seu Polícia - Ao Vivo;Ao Vivo em São José do Rio Preto (Deluxe);Zé Neto & Cristiano;42685;169466;61;1;0,361;0,687;0,878;0;0,211;0,42;-4,193;0,0491;140,031;169467;4;['sertanejo pop'];https://open.spotify.com/track/39995SwI9fcO5ON9aku0gU
45;Beija Eu;Silva Canta Marisa;Silva;42692;195400;61;1;0,899;0,761;0,262;0,0000748;0,13;0,507;-9,56;0,0839;146,954;195400;3;[];https://open.spotify.com/track/4LBupHhBSFZCXhPteUWWY3
46;Me & You (feat. IRO);XOXO (Music from the Netflix Original Film);Various Artists;42608;327272;62;0;0,166;0,78;0,63;0,156;0,105;0,367;-6,52;0,0334;120,988;327273;4;['reggaeton', 'reggaeton flow'];https://open.spotify.com/track/2WTCoQLkQ9FPdvThkf8nN1
47;I Feel It Coming;Starboy;The Weeknd;42699;269186;79;0;0,428;0,773;0,819;0;0,0679;0,585;-5,946;0,118;92,987;269187;4;['canadian contemporary r&b', 'canadian pop', 'pop'];https://open.spotify.com/track/3dhjNA0jGA8vHBQ1VdD6vV
48;Infiel - Ao Vivo;Marília Mendonça - Ao Vivo;Marília Mendonça;42433;201904;61;0;0,686;0,852;0,684;0,0000176;0,145;0,616;-5,915;0,0377;126,08;201905;4;['pop nacional', 'sertanejo universitario'];https://open.spotify.com/track/38MpAndIjGAyVdcC6npX95
49;One Dance;Views;Drake;42496;173986;81;1;0,00776;0,792;0,625;0,0018;0,329;0,37;-5,609;0,0536;103,967;173987;4;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
50;Me Namora (feat. Edu Ribeiro) - Natiruts Reggae Brasil - Ao Vivo;Natiruts Reggae Brasil (Ao Vivo) [Deluxe];Natiruts;42601;196493;61;1;0,16;0,604;0,847;0,00000665;0,781;0,919;-7,516;0,0428;77,991;196493;4;['brazilian reggae', 'reggae tuga'];https://open.spotify.com/track/0gRNBFAXFhq1Z8QgTd0aXI
51;Flor e o Beija-Flor - Ao Vivo;Novas Histórias (Ao Vivo);Henrique & Juliano;42447;190226;60;1;0,801;0,461;0,477;0;0,663;0,459;-6,454;0,0314;203,879;190227;4;['pagode', 'pagode novo'];https://open.spotify.com/track/0phVJ23NJlruwtt1XCm94N
52;This Girl (Kungs Vs. Cookin' On 3 Burners);Layers;Kungs;42678;195546;77;0;0,0927;0,792;0,717;0,0000359;0,226;0,466;-4,759;0,0393;121,985;195547;4;['edm', 'new french touch', 'tropical house'];https://open.spotify.com/track/1A8j067qyiNwQnZT0bzUpZ
53;"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;42496;236001;77;1;0,0123;0,667;0,83;0;0,191;0,701;-5,715;0,0749;113,03;236002;4;['dance pop', 'pop'];https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
54;Psycho, Pt. 2;Psycho, Pt. 2;Russ;42682;161985;78;1;0,775;0,766;0,548;0,00000557;0,1;0,424;-4,29;0,235;82,944;161985;4;['rap', 'southern hip hop', 'tennessee hip hop', 'trap', 'vapor trap'];https://open.spotify.com/track/26OhjtaTamFocE08t83ml6
55;Provavelmente;Provavelmente;Hungria Hip Hop;42660;245504;60;0;0,273;0,896;0,424;0;0,166;0,433;-11,086;0,159;120,068;245505;4;['brazilian edm', 'brazilian hip hop', 'rap df', 'trap brasileiro'];https://open.spotify.com/track/1E2R5JS5pHLLQowZ4xjpiB
56;Don't Let Me Down (feat. Daya);Don't Let Me Down (feat. Daya);The Chainsmokers;42405;208373;79;1;0,157;0,532;0,869;0,00508;0,136;0,422;-5,094;0,172;159,803;208373;4;['dance pop', 'edm', 'electropop', 'pop', 'tropical house'];https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
57;Na Hora da Raiva - Ao Vivo;Novas Histórias (Ao Vivo);Henrique & Juliano;42447;174293;60;1;0,321;0,55;0,878;0,00000596;0,89;0,448;-2,885;0,0509;117,964;174293;4;['pagode', 'pagode novo'];https://open.spotify.com/track/0Zu7NVn4IvfYuEIrD11UVr
58;In the Name of Love;In the Name of Love;Martin Garrix;42580;195706;78;0;0,109;0,501;0,519;0;0,454;0,168;-5,88;0,0409;133,99;195707;4;['big room', 'dance pop', 'edm', 'electro house', 'pop', 'progressive house', 'tropical house'];https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
59;Atos 2;EP Gabriela Rocha;Gabriela Rocha;42678;314746;60;1;0,549;0,176;0,513;0,025;0,303;0,216;-8,675;0,0365;156,776;314747;3;['adoracao', 'brazilian gospel'];https://open.spotify.com/track/0L3UFMmq5An0W3j1Q9cLG6
60;Cake By The Ocean;DNCE;DNCE;42692;219146;79;0;0,152;0,774;0,753;0;0,0371;0,896;-5,446;0,0517;119,002;219147;4;['dance pop', 'pop', 'pop rock', 'post-teen pop'];https://open.spotify.com/track/76hfruVvmfQbw0eYn1nmeC
61;Work from Home (feat. Ty Dolla $ign);7/27 (Deluxe);Fifth Harmony;42517;214480;77;1;0,103;0,803;0,585;0,00000394;0,0644;0,593;-5,861;0,0432;105,017;214480;4;['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show'];https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
62;O Nosso Santo Bateu - Na Praia / Ao Vivo;Na Praia (Ao Vivo);Matheus & Kauan;42426;187133;60;1;0,22;0,479;0,736;0;0,731;0,405;-4,581;0,127;141,89;187133;4;['pop nacional', 'sertanejo universitario'];https://open.spotify.com/track/5C0wi5U4l0YUv7yIKe2TEe
63;Eu Sei de Cor - Ao Vivo | Acústico;Agora É Que São Elas Ao Vivo (Acústico) - EP;Marília Mendonça;42615;174663;60;0;0,424;0,855;0,601;0;0,241;0,776;-5,902;0,0346;124,016;174663;4;['pop nacional', 'sertanejo universitario'];https://open.spotify.com/track/45wqPwIH4A5cr2IyyD4WKf
64;Eu Ligo Pra Você - Ao Vivo;Ao Vivo em São José do Rio Preto (Deluxe);Zé Neto & Cristiano;42685;173666;60;1;0,398;0,676;0,768;0;0,636;0,473;-4,133;0,0298;111,995;173667;4;['sertanejo pop'];https://open.spotify.com/track/6lcUzde7peeHxraZ3Maf5k
65;Astronomia;Astronomia;Vicetone;42629;198095;77;1;0,00561;0,653;0,945;0,915;0,439;0,326;-2,634;0,096;126,093;198095;4;['big room', 'edm', 'electro house', 'gaming edm', 'pop edm', 'progressive electro house', 'tropical house'];https://open.spotify.com/track/3hWfKBt3n7j1xqIy6LA5ve
66;Quebra Cabeça;Quebra Cabeça;Hungria Hip Hop;42719;275696;59;0;0,705;0,798;0,418;0,0000784;0,0834;0,373;-10,655;0,0375;124,943;275696;4;['brazilian edm', 'brazilian hip hop', 'rap df', 'trap brasileiro'];https://open.spotify.com/track/7tlWwaEioNXTYZFmuMELdc
67;Em Teus Braços;Fornalha Dunamis;Laura Souguellis;42486;733283;59;1;0,53;0,296;0,365;0;0,0964;0,256;-8,881;0,0316;135,173;733283;4;['adoracao'];https://open.spotify.com/track/1lymSqz42DeEn03NMn9BiT
68;Work;ANTI (Deluxe);Rihanna;42397;219320;76;1;0,0752;0,725;0,534;0;0,0919;0,558;-6,238;0,0946;91,974;219320;4;['pop', 'pop rap', 'rap', 'toronto rap', 'trap', 'urban contemporary'];https://open.spotify.com/track/72TFWvU3wUYdUuxejTTIzt
69;Impressionando os Anjos;Impressionando os Anjos;Gustavo Mioto;42663;212949;59;1;0,383;0,625;0,739;0;0,109;0,427;-2,294;0,0314;137,915;212949;4;['sertanejo', 'sertanejo pop', 'sertanejo universitario'];https://open.spotify.com/track/4tbDsuukvtfxlwEToGeb0i
70;Decide Aí - Na Praia / Ao Vivo;Na Praia (Ao Vivo);Matheus & Kauan;42426;162960;59;0;0,0913;0,607;0,865;0;0,354;0,545;-3,63;0,094;135,489;162960;4;['pop nacional', 'sertanejo universitario'];https://open.spotify.com/track/2CKg2u26mtyRYodwbxmA8l
71;My Way;My Way;Calvin Harris;42629;219159;75;0;0,0935;0,819;0,913;0,0000372;0,161;0,536;-3,059;0,0427;119,989;219160;4;['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance'];https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
72;Regime Fechado - Ao Vivo;Simone & Simaria (Ao Vivo);Simone & Simaria;42671;232485;59;0;0,0597;0,666;0,881;0;0,403;0,847;-3,137;0,114;137,915;232486;4;['latin', 'latin pop', 'reggaeton', 'reggaeton colombiano'];https://open.spotify.com/track/3laDGpbCmdrGOhjrcYIBYB
73;Dangerous Woman;Dangerous Woman;Ariana Grande;42510;235946;76;0;0,0529;0,664;0,602;0;0,356;0,289;-5,369;0,0412;134,049;235947;3;['dance pop', 'pop', 'post-teen pop'];https://open.spotify.com/track/7l94dyN2hX9c6wWcZQuOGJ
74;Send My Love (To Your New Lover);25;Adele;42545;223080;71;0;0,0415;0,69;0,524;0,00000316;0,17;0,562;-8,39;0,103;164,023;223080;4;['british soul', 'pop', 'pop soul', 'uk pop'];https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
75;O Que Falta Em Você Sou Eu - Ao Vivo;Marília Mendonça - Ao Vivo;Marília Mendonça;42433;197916;59;1;0,134;0,67;0,671;0;0,178;0,533;-5,214;0,0391;143,941;197917;4;['pop nacional', 'sertanejo universitario'];https://open.spotify.com/track/3XSefjiSHsD34F7clH84xa
76;I Took A Pill In Ibiza - Seeb Remix;At Night, Alone.;Mike Posner;42496;197933;76;0;0,0353;0,664;0,714;0,00000842;0,0843;0,71;-6,645;0,111;101,969;197933;4;['dance pop', 'pop', 'pop rap'];https://open.spotify.com/track/0vbtURX4qv1l7besfwmnD8
77;Dependente - Acústico;Dependente (Acústico) - Single;Sorriso Maroto;42657;195242;58;1;0,816;0,584;0,409;0;0,091;0,333;-6,373;0,0309;162,044;195243;4;['pagode', 'sertanejo universitario'];https://open.spotify.com/track/6pp7MsJ1mASkSpUItyk61r
78;10% - Ao Vivo;Ao Vivo Em Goiânia;Maiara & Maraisa;42433;174653;59;0;0,482;0,632;0,95;0;0,84;0,596;-2,85;0,111;154,006;174653;4;['batidao romantico', 'funk carioca', 'funk ostentacao', 'funk paulista'];https://open.spotify.com/track/2wFnRPjuqwNySFiK0Qfg8L
79;Dark Necessities;The Getaway;Red Hot Chili Peppers;42538;302000;73;0;0,0722;0,7;0,742;0,0199;0,11;0,197;-6,777;0,0716;91,959;302000;4;['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock'];https://open.spotify.com/track/2oaK4JLVnmRGIO9ytBE1bt
80;Sentimento - Ao vivo;O Rappa - Acústico Oficina Francisco Brennand (Deluxe) [Ao Vivo];O Rappa;42517;252789;58;0;0,115;0,438;0,84;0,0416;0,95;0,86;-6,303;0,0345;92,182;252790;4;['brazilian hip hop', 'brazilian reggae', 'brazilian rock', 'latin alternative', 'rock nacional brasileiro'];https://open.spotify.com/track/0vaISMFBEhY4ssii1zCGUQ
81;Sentimento Louco - Ao Vivo;Marília Mendonça - Ao Vivo;Marília Mendonça;42433;169864;58;1;0,17;0,674;0,722;0;0,178;0,511;-4,749;0,0686;148,101;169865;4;['pop nacional', 'sertanejo universitario'];https://open.spotify.com/track/5YdC74tZejyq3vurDOLFYz
82;Nada Nada - Ao Vivo;Novas Histórias (Ao Vivo);Henrique & Juliano;42447;156000;58;1;0,306;0,606;0,947;0;0,454;0,907;-3,422;0,0465;169,857;156000;4;['pagode', 'pagode novo'];https://open.spotify.com/track/0GR7ZABhVF9GbxghIx2RRv
83;When We Were Young;25;Adele;42545;290906;72;1;0,348;0,381;0,594;0;0,0925;0,273;-5,97;0,0486;143,86;290907;4;['british soul', 'pop', 'pop soul', 'uk pop'];https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL
84;BOOMBAYAH;SQUARE ONE;BLACKPINK;42590;240848;77;0;0,00264;0,658;0,836;0,00000102;0,507;0,387;-3,282;0,0549;124,969;240849;4;['k-pop', 'k-pop girl group'];https://open.spotify.com/track/3yHQKddM8SVCRnuPSo3HPN
85;Sim ou não (participação especial Maluma);Sim ou não (Participação especial Maluma);Anitta;42579;206270;60;1;0,433;0,818;0,84;0,00000116;0,114;0,889;-3,328;0,092;99,004;206270;4;['funk carioca', 'funk das antigas', 'funk pop', 'pagode baiano', 'pop nacional'];https://open.spotify.com/track/4FxumkF81ICxITeqxx4nK9
86;24K Magic;24K Magic;Bruno Mars;42691;225983;77;1;0,034;0,818;0,803;0;0,153;0,632;-4,282;0,0797;106,97;225983;4;['dance pop', 'pop', 'post-teen pop'];https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
87;Hello;25;Adele;42545;295493;72;0;0,336;0,481;0,451;0;0,0872;0,289;-6,095;0,0347;157,966;295493;4;['british soul', 'pop', 'pop soul', 'uk pop'];https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw
88;Hotline Bling;Views;Drake;42496;267066;76;1;0,00258;0,891;0,628;0,00019;0,0504;0,552;-7,863;0,0551;134,966;267067;4;['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'];https://open.spotify.com/track/0wwPcA6wtMf6HUMpIRdeP7
89;Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors);Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors);Lil Wayne;42545;243490;77;0;0,255;0,502;0,786;0;0,65;0,739;-4,378;0,317;169,021;243491;4;['baton rouge rap', 'trap'];https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
90;Redbone;"""Awaken, My Love!""";Childish Gambino;42706;326933;81;1;0,167;0,743;0,347;0,00951;0,103;0,572;-11,174;0,121;160,143;326933;4;['atl hip hop', 'hip hop', 'pop rap', 'rap'];https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
91;Liberta-Me de Mim;Liberta-Me de Mim;Luma Elpidio;42571;429332;58;1;0,168;0,473;0,445;0,00000143;0,221;0,192;-9,815;0,0372;130,001;429332;4;['adoracao'];https://open.spotify.com/track/6TuE408iM4JvCXtGSBg1JA
92;Minha Essência;Minha Essência;Thiago Brado;42724;375613;57;1;0,674;0,265;0,337;0,00000306;0,11;0,0673;-7,702;0,0308;129,669;375613;3;['brazilian ccm'];https://open.spotify.com/track/5oqSMBzlsGQ1DpZ6mCTpey
93;Amei Te Ver - Acústica;Amei Te Ver;Tiago Iorc;42416;254096;58;1;0,21;0,743;0,515;0;0,137;0,396;-6,038;0,0319;89,98;254096;4;['brazilian rock', 'folk brasileiro', 'mpb', 'nova mpb'];https://open.spotify.com/track/0bX2gnECXZJ5nt7rcIZMVM
