index;name;album;artist;release_date;length;popularity;mode;acousticness;danceability;energy;instrumentalness;liveness;valence;loudness;speechiness;tempo;duration_ms;time_signature;genre;url
2129;Lama no Copo;Lama no Copo - Single;Matuê;42912;253433;58;0;0,161;0,433;0,624;0;0,194;0,327;-6,66;0,0614;120,696;253433;4;['r&b brasileiro', 'rap cearense', 'trap brasileiro'];https://open.spotify.com/track/1LbGQIbIK5fybh2AfGz0hw
2130;Pesadão (Participação especial Marcelo Falcão);Pesadão (Participação especial Marcelo Falcão);IZA;43013;199200;58;1;0,192;0,74;0,791;0;0,35;0,744;-3,915;0,239;75,017;199200;4;['cali rap', 'oakland hip hop', 'scam rap', 'trap soul', 'underground hip hop', 'vapor trap'];https://open.spotify.com/track/1BkyiAw1L0BOHYckwpRX4V
2131;Wild Thoughts (feat. Rihanna & Bryson Tiller);Grateful;DJ Khaled;42908;204173;75;0;0,0329;0,671;0,672;0;0,118;0,632;-3,094;0,0688;97,979;204173;4;['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap'];https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
2132;Raplord;Teto Baixo;Haikaiss;42818;263078;58;0;0,0957;0,729;0,691;0;0,134;0,489;-7,819;0,291;148,18;263078;4;['brazilian edm', 'brazilian hip hop', 'trap brasileiro'];https://open.spotify.com/track/3YSagrvQP9x32rAjEI48PL
2133;Swim;Chase Atlantic;Chase Atlantic;43012;228786;71;1;0,27;0,666;0,542;0;0,0765;0,0771;-6,429;0,0392;120,134;228787;4;['modern rock', 'pop'];https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx
2134;Fuck Love (feat. Trippie Redd);17;XXXTENTACION;42972;146520;83;0;0,0172;0,797;0,533;0,000152;0,103;0,329;-9,74;0,0412;131,036;146520;4;['emo rap', 'miami hip hop'];https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
2135;Pintor do Mundo;Pintor do Mundo;Pr. Lucas;42907;291317;58;1;0,105;0,486;0,497;0;0,0958;0,171;-6,546;0,0373;123,722;291318;4;['adoracao', 'brazilian gospel'];https://open.spotify.com/track/3Xu39iqbrhEkzGwMNeGKRL
2136;Ar-Condicionado No 15 - Ao Vivo;In Miami Beach (Ao Vivo);Wesley Safadão;42937;168240;58;1;0,0851;0,623;0,892;0,00000386;0,779;0,663;-4,128;0,089;127,787;168240;4;['forro'];https://open.spotify.com/track/5ac0YTpOaDX9wEYYyGCglL
2137;Sorte Que Cê Beija Bem - Ao Vivo;Ao Vivo Em Campo Grande;Maiara & Maraisa;42818;151826;58;1;0,153;0,539;0,882;0;0,805;0,492;-4,087;0,263;93,165;151827;4;['batidao romantico', 'funk carioca', 'funk ostentacao', 'funk paulista'];https://open.spotify.com/track/4YV827A7aWVswtyt0eWoWM
2138;Dueto;Caravanas;Chico Buarque;42972;202080;58;1;0,769;0,457;0,385;0;0,0756;0,314;-9,673;0,0384;99,377;202080;4;['adult standards', 'bossa nova', 'brazilian classical', 'brazilian jazz', 'latin classical', 'mpb', 'violao'];https://open.spotify.com/track/1UI0p7UHJVyiVlug9ENhjg
2139;Look At Me!;Look At Me!;XXXTENTACION;42786;126345;82;1;0,259;0,763;0,726;0;0,0976;0,349;-6,405;0,282;139,059;126346;4;['emo rap', 'miami hip hop'];https://open.spotify.com/track/7floNISpH8VF4z4459Qo18
2140;Olhos Castanhos;Olhos Castanhos;Luísa Sonza;42937;205523;58;0;0,423;0,554;0,653;0;0,118;0,304;-5,09;0,043;174,014;205523;4;['funk carioca', 'pop nacional'];https://open.spotify.com/track/1Eh2tS7tgwqvvQLIBbByHo
2141;Pretty Girl;Pretty Girl;Clairo;42951;178352;79;1;0,593;0,93;0,611;0,00124;0,0592;0,695;-4,406;0,0415;112,127;178352;4;['indie pop', 'modern rock', 'rock'];https://open.spotify.com/track/0KyAGiNGUytG5JLxJu4F6l
2142;Best Friend;Best Friend;Rex Orange County;42760;262231;80;1;0,395;0,575;0,714;0;0,115;0,32;-5,247;0,0596;144,982;262231;4;['bedroom pop', 'pop'];https://open.spotify.com/track/47Bg6IrMed1GPbxRgwH2aC
2143;Cigana - Ao Vivo;Raça Negra e Amigos II (Ao Vivo);Raça Negra;42972;195875;58;1;0,47;0,655;0,63;0;0,589;0,355;-6,717;0,0353;141,981;195875;4;['axe', 'pagode', 'sertanejo', 'sertanejo universitario'];https://open.spotify.com/track/4vTI1wFRtzrk4GQNHjG8fx
